date, pm25, pm10, o3, no2, so2, co
2023/10/18, 139, 94, 29, 5, 3, 5
2023/10/19, 158, 79, 23, 5, 3, 5
2023/10/20, 148, 67, 26, 4, 3, 5
2023/10/21, 130, 78, 28, 5, 4, 4
2023/10/22, 127, 82, 32, 5, 8, 4
2023/10/23, 127, 83, 30, 4, 8, 6
2023/10/24, 136, 76, 31, 3, 6, 5
2023/10/25, 142, 75, 24, 3, 5, 5
2023/10/26, 135, 69, 20, 1, 3, 5
2023/10/27, 131, 55, 17, 1, 3, 5
2023/10/28, 113, 67, 19, 1, 3, 5
2023/10/29, 136, 71, 28, 1, 4, 6
2023/10/30, 145, 69, 29, 1, 4, 5
2023/10/31, 141, 58, 24, 1, 4, 5
2023/11/1, 114, 34, 15, , 4, 4
2023/11/2, 63, 25, 12, 1, 4, 4
2023/11/3, 44, 20, 10, , 3, 4
2023/11/4, 34, 16, 10, , 3, 5
2023/11/5, 31, 18, 9, 2, 4, 5
2023/11/6, 33, 41, 20, 3, 5, 5
2023/11/7, 74, 58, 22, 3, 5, 5
2023/11/8, 110, 73, 24, 4, 5, 4
2023/11/9, 131, 80, 36, 5, 3, 5
2023/11/10, 146, 84, 8, 4, 3, 7
2023/11/11, 157, , , , , 
2023/7/1, 23, 27, 14, 2, 6, 4
2023/7/2, 22, 11, 11, 2, 6, 3
2023/7/3, 21, 13, 6, 10, 5, 4
2023/7/4, 18, 21, 9, 7, 5, 4
2023/7/5, 50, 17, 6, 5, 6, 4
2023/7/6, 39, 22, 8, 6, 4, 8
2023/7/7, 45, 26, 8, 3, 3, 2
2023/7/8, 52, 35, 11, 2, 3, 3
2023/7/9, 56, 33, 8, 4, 3, 2
2023/7/10, 57, 52, 9, 3, 3, 4
2023/7/11, 79, 37, 13, 4, 4, 2
2023/7/12, 65, 34, 10, 3, 3, 3
2023/7/13, 59, 26, 15, 2, 4, 3
2023/7/14, 48, 27, 16, 2, 4, 2
2023/7/15, 43, 28, 16, 2, 3, 2
2023/7/16, 46, 22, 11, 2, 3, 2
2023/7/17, 41, 13, 8, 2, 3, 2
2023/7/18, 29, 11, 8, 1, 4, 2
2023/7/19, 33, 17, 9, 1, 3, 2
2023/7/20, 52, 14, 11, 2, 4, 3
2023/7/21, 45, 18, 10, 2, 3, 2
2023/7/22, 50, 15, 8, 2, 4, 2
2023/7/23, 46, 11, 6, 2, 4, 3
2023/7/24, 37, 8, 7, 2, 4, 2
2023/7/25, 40, 7, 7, 2, 4, 2
2023/7/26, 36, , , , , 
2023/7/29, 34, 36, 16, 3, 7, 2
2023/7/30, 42, 35, 14, 2, 7, 3
2023/7/31, 40, 19, 13, 2, 8, 2
2023/8/1, 23, 26, 12, 2, 9, 3
2023/8/2, 31, 33, 16, 2, 7, 3
2023/8/3, 47, 36, 19, 3, 9, 3
2023/8/4, 51, 37, 23, 2, 10, 3
2023/8/5, 53, 43, 24, 2, 9, 3
2023/8/6, 53, 45, 22, 2, 10, 2
2023/8/7, 53, 50, 20, 2, 9, 3
2023/8/8, 57, 58, 16, 3, 8, 2
2023/8/9, 66, 58, 20, 4, 8, 4
2023/8/10, 72, 44, 24, 3, 7, 3
2023/8/11, 67, 25, 20, 3, 8, 3
2023/8/12, 56, 44, 27, 4, 9, 4
2023/8/13, 63, 49, 15, 4, 8, 6
2023/8/14, 67, 41, 21, 2, 8, 3
2023/8/15, 63, 42, 23, 3, 8, 3
2023/8/16, 63, 46, 17, 4, 8, 3
2023/8/17, 68, 52, 15, 3, 7, 3
2023/8/18, 69, 54, 16, 2, 6, 3
2023/8/19, 79, 51, 21, 2, 7, 3
2023/8/20, 64, 47, 19, 3, 7, 3
2023/8/21, 63, 47, 19, 3, 7, 4
2023/8/22, 71, 40, 24, 2, 7, 3
2023/8/23, 64, 41, 22, 4, 6, 4
2023/8/24, 62, 37, 15, 5, 7, 6
2023/8/25, 54, 25, 14, 2, 7, 3
2023/8/26, 44, 27, 19, 2, 7, 3
2023/8/27, 48, 21, 19, 2, 7, 3
2023/8/28, 39, 66, 20, 3, 7, 5
2023/8/29, 95, 89, 21, 5, 7, 4
2023/8/30, 117, 81, 28, 3, 8, 4
2023/8/31, 117, 77, 29, 2, 7, 3
2023/9/1, 114, 55, 27, 2, 6, 3
2023/9/2, 97, 24, 20, 1, 7, 3
2023/9/3, 55, 20, 19, 2, 7, 4
2023/9/4, 51, 16, 12, 2, 6, 8
2023/9/5, 43, 23, 14, 2, 7, 4
2023/9/6, 52, 41, 15, 3, 6, 3
2023/9/7, 66, 26, 12, 2, 7, 4
2023/9/8, 48, 29, 18, 1, 7, 4
2023/9/9, 54, , , , , 
2023/9/13, 53, 25, 17, 3, 7, 3
2023/9/14, 45, 24, 16, 3, 6, 2
2023/9/15, 43, 23, 19, 2, 7, 2
2023/9/16, 44, 30, 15, 3, 7, 3
2023/9/17, 50, 38, 17, 3, 7, 4
2023/9/18, 53, 37, 17, 3, 7, 3
2023/9/19, 52, 40, 16, 5, 7, 3
2023/9/20, 55, 22, 12, 4, 7, 4
2023/9/21, 37, 14, 11, 3, 7, 3
2023/9/22, 36, , , , , 
2023/9/25, 74, , , , , 
2023/9/27, 65, 25, 23, 2, 7, 3
2023/9/28, 57, 30, 16, 4, 7, 4
2023/9/29, 60, 22, 17, 2, 7, 4
2023/9/30, 51, 24, 16, 1, 7, 3
2023/4/3, 63, 22, 20, 2, 4, 10
2023/4/4, 43, 15, 4, 2, 2, 10
2023/4/5, 37, 18, 5, 3, 17, 11
2023/4/6, 27, 22, 14, 3, 5, 10
2023/4/7, 36, 38, 27, 3, 8, 10
2023/4/8, 57, 43, 25, 3, 7, 9
2023/4/9, 62, 51, 30, 4, 7, 9
